DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
9.3,-0.018841,,,,,,
9.316667,-0.01832,,,,,,
9.333333,-0.01762,,,,,,
9.35,-0.016541,,,,,,
9.366667,-0.015584,,,,,,
9.383333,-0.014517,,,,,,
9.4,-0.01312,,,,,,
9.416667,-0.012003,,,,,,
9.433333,-0.010936,,,,,,
9.45,-0.010039,,,,,,
9.466667,-0.009072,,,,,,
9.483333,-0.008435,,,,,,
9.5,-0.007748,,,,,,
9.516667,-0.006971,,,,,,
9.533333,-0.006194,,,,,,
9.55,-0.005247,,,,,,
9.566667,-0.0045,,,,,,
9.583333,-0.003793,,,,,,
9.6,-0.003506,,,,,,
9.616667,-0.003159,,,,,,
9.633333,-0.002972,,,,,,
9.65,-0.003215,,,,,,
9.666667,-0.003128,,,,,,
9.683333,-0.003141,,,,,,
9.7,-0.003064,,,,,,
9.716667,-0.002887,,,,,,
9.733333,-0.002739,,,,,,
9.75,-0.002632,,,,,,
9.766667,-0.002475,,,,,,
9.783333,-0.002228,,,,,,
9.8,-0.002311,,,,,,
9.816667,-0.002254,,,,,,
9.833333,-0.002157,,,,,,
9.85,-0.00219,,,,,,
9.866667,-0.002365,,,,,,
9.883333,-0.002491,,,,,,
9.9,-0.002486,,,,,,
9.916667,-0.002332,,,,,,
9.933333,-0.002198,,,,,,
9.95,-0.001644,,,,,,
9.966667,-0.00103,,,,,,
9.983333,-0.000845,,,,,,
10,-0.000551,,,,,,
10.016667,-0.000237,,,,,,
10.033333,0.000097,,,,,,
10.05,0.000251,,,,,,
10.066667,0.000525,,,,,,
10.083333,0.00112,,,,,,
10.1,0.001074,,,,,,
10.116667,0.000928,,,,,,
10.133333,0.000972,,,,,,
10.15,0.001156,,,,,,
10.166667,0.00141,,,,,,
10.183333,0.002015,,,,,,
10.2,0.002449,,,,,,
10.216667,0.002293,,,,,,
10.233333,0.002397,,,,,,
10.25,0.002351,,,,,,
10.266667,0.002446,,,,,,
10.283333,0.00232,,,,,,
10.3,0.002214,,,,,,
10.316667,0.002088,,,,,,
10.333333,0.001992,,,,,,
10.35,0.002016,,,,,,
10.366667,0.001781,,,,,,
10.383333,0.001713,,,,,,
10.4,0.001925,,,,,,
10.416667,0.001826,,,,,,
10.433333,0.001668,,,,,,
10.45,0.001699,,,,,,
10.466667,0.001711,,,,,,
10.483333,0.001563,,,,,,
10.5,0.001664,,,,,,
10.516667,0.001806,,,,,,
10.533333,0.002117,,,,,,
10.55,0.002099,,,,,,
10.566667,0.00204,,,,,,
10.583333,0.002062,,,,,,
10.6,0.002084,,,,,,
10.616667,0.002155,,,,,,
10.633333,0.002197,,,,,,
10.65,0.001948,,,,,,
10.666667,0.00182,,,,,,
10.683333,0.001981,,,,,,
10.7,0.002273,,,,,,
10.716667,0.002415,,,,,,
10.733333,0.002476,,,,,,
10.75,0.002598,,,,,,
10.766667,0.002549,,,,,,
10.783333,0.002631,,,,,,
10.8,0.002503,,,,,,
10.816667,0.002624,,,,,,
10.833333,0.002626,,,,,,
10.85,0.002687,,,,,,
10.866667,0.002809,,,,,,
10.883333,0.00296,,,,,,
10.9,0.00303,,,,,,
10.916667,0.003179,,,,,,
10.933333,0.003459,,,,,,
10.95,0.003818,,,,,,
10.966667,0.004097,,,,,,
10.983333,0.004086,,,,,,
11,0.003936,,,,,,
11.016667,0.003885,,,,,,
11.033333,0.004004,,,,,,
11.05,0.004113,,,,,,
11.066667,0.004373,,,,,,
11.083333,0.004782,,,,,,
11.1,0.004971,,,,,,
11.116667,0.00478,,,,,,
11.133333,0.00455,,,,,,
11.15,0.004209,,,,,,
11.166667,0.003908,,,,,,
11.183333,0.003797,,,,,,
11.2,0.003837,,,,,,
11.216667,0.003756,,,,,,
11.233333,0.003815,,,,,,
